0,1,2,3,4,5,6,7,8,9,batch_number,image_indices
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,971
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37620
0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0,14388
0.0,0.0,20.0,490.0,0.0,2.0,0.0,0.0,0.0,0.0,0,11344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0,5160
2.0,0.0,493.0,0.0,7.0,2.0,0.0,3.0,4.0,1.0,0,22691
121.0,0.0,57.0,1.0,56.0,36.0,34.0,0.0,207.0,0.0,0,37790
9.0,0.0,0.0,1.0,1.0,489.0,0.0,6.0,6.0,0.0,0,993
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49702
0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0,3147
6.0,0.0,1.0,0.0,444.0,0.0,61.0,0.0,0.0,0.0,0,28971
0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32419
1.0,0.0,0.0,8.0,12.0,18.0,0.0,473.0,0.0,0.0,0,22403
0.0,0.0,0.0,0.0,1.0,0.0,0.0,511.0,0.0,0.0,0,18528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,19854
0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0,5498
0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35069
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9088
0.0,0.0,0.0,0.0,0.0,1.0,0.0,511.0,0.0,0.0,0,31034
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,509.0,0,47537
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46421
0.0,0.0,1.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0,2616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,20841
0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0,45657
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14507
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,9684
0.0,0.0,0.0,511.0,0.0,1.0,0.0,0.0,0.0,0.0,0,19422
20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,0,38619
281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0,42622
0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0,22369
0.0,0.0,0.0,8.0,0.0,3.0,501.0,0.0,0.0,0.0,0,4767
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,38255
0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0,3942
0.0,0.0,0.0,27.0,0.0,0.0,477.0,0.0,8.0,0.0,0,8545
496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0,29232
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26994
2.0,0.0,509.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21392
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34809
0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0,34451
0.0,0.0,0.0,24.0,476.0,0.0,12.0,0.0,0.0,0.0,0,10485
0.0,0.0,16.0,481.0,0.0,14.0,0.0,1.0,0.0,0.0,0,24124
0.0,0.0,0.0,0.0,2.0,510.0,0.0,0.0,0.0,0.0,0,32782
26.0,2.0,131.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0,20148
0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0,40909
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48310
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0,10245
0.0,0.0,10.0,0.0,495.0,0.0,7.0,0.0,0.0,0.0,0,35573
0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0,30202
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29494
510.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11076
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,17120
0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0,47662
512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34856
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,33456
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,6565
511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,30769
478.0,0.0,16.0,3.0,0.0,0.0,0.0,2.0,13.0,0.0,0,42248
0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0,33688
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,29598
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,0,5658
0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0,15336
512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21674
0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6492
0.0,0.0,0.0,4.0,0.0,1.0,0.0,507.0,0.0,0.0,0,5121
55.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16530
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23160
0.0,0.0,0.0,0.0,1.0,0.0,511.0,0.0,0.0,0.0,0,14916
0.0,0.0,8.0,418.0,1.0,48.0,36.0,0.0,1.0,0.0,0,15341
0.0,0.0,0.0,7.0,0.0,1.0,499.0,0.0,5.0,0.0,0,12122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0,33992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0,29776
0.0,0.0,506.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0,30102
512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31450
512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27487
7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0,26604
0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0,22971
0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49873
0.0,0.0,1.0,0.0,511.0,0.0,0.0,0.0,0.0,0.0,0,46703
0.0,0.0,0.0,485.0,0.0,27.0,0.0,0.0,0.0,0.0,0,1969
0.0,0.0,0.0,0.0,0.0,5.0,0.0,507.0,0.0,0.0,0,37897
0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0,31206
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0,49442
0.0,1.0,2.0,1.0,507.0,0.0,0.0,1.0,0.0,0.0,0,2835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0,531
0.0,0.0,0.0,510.0,0.0,0.0,0.0,2.0,0.0,0.0,0,44576
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0,14028
0.0,0.0,0.0,465.0,0.0,34.0,0.0,13.0,0.0,0.0,0,26357
0.0,0.0,3.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0,27925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0,17716
